Approved,Corrected,CriticalApproved,Disapproved,Duplicate,HighlyApproved,Irrelevant,NoData,NotSeen,Seen,"_id","_index","_score","_type",editor,timestamp
"13,443","15,619",0,"14,890","2,692",0,17,"5,978",230,213,"CCu24IkBnjF88R-CtMZc","stalin_operation_statuses_stats",0,"_doc","fattaneh.kia","Aug 10, 2023 @ 18:30:17.433"
"15,498","9,700",0,"14,821","2,868",0,32,"7,508",274,225,"BSu24IkBnjF88R-CtMYb","stalin_operation_statuses_stats",0,"_doc","mahta.bakhshipour","Aug 10, 2023 @ 18:30:17.369"
"15,964","13,415",0,"19,991","3,320",0,48,"4,155",145,218,"ASu24IkBnjF88R-Cs8bB","stalin_operation_statuses_stats",0,"_doc","niloofar.khosravi","Aug 10, 2023 @ 18:30:17.279"
"22,080","16,670",35,"30,056","3,577",0,171,"5,642",2,331,"ACu24IkBnjF88R-Cs8aB","stalin_operation_statuses_stats",0,"_doc","Nastaran.Sabouri","Aug 10, 2023 @ 18:30:17.214"
"16,961","10,973",0,"17,130","1,873",1,21,"4,308",148,285,"_yu24IkBnjF88R-Cs8U8","stalin_operation_statuses_stats",0,"_doc","elham.nasimzadeh","Aug 10, 2023 @ 18:30:17.145"
"13,443","15,619",0,"14,890","2,692",0,17,"5,978",230,213,"fCyQ24kBUTgwqn-nOAiv","stalin_operation_statuses_stats",0,"_doc","fattaneh.kia","Aug 9, 2023 @ 18:30:09.330"
"15,498","9,700",0,"14,821","2,868",0,32,"7,508",274,225,"eiyQ24kBUTgwqn-nOAhv","stalin_operation_statuses_stats",0,"_doc","mahta.bakhshipour","Aug 9, 2023 @ 18:30:09.267"
"15,964","13,415",0,"19,991","3,320",0,48,"4,155",145,218,"diyQ24kBUTgwqn-nOAgh","stalin_operation_statuses_stats",0,"_doc","niloofar.khosravi","Aug 9, 2023 @ 18:30:09.189"
"22,080","16,670",35,"30,056","3,577",0,171,"5,642",2,331,"dCyQ24kBUTgwqn-nNwjf","stalin_operation_statuses_stats",0,"_doc","Nastaran.Sabouri","Aug 9, 2023 @ 18:30:09.122"
"16,961","10,973",0,"17,130","1,873",1,21,"4,308",148,285,"ciyQ24kBUTgwqn-nNwiG","stalin_operation_statuses_stats",0,"_doc","elham.nasimzadeh","Aug 9, 2023 @ 18:30:09.034"
"13,421","15,606",0,"14,866","2,692",0,16,"5,976",292,213,"TIJp1okBnjF88R-C-hev","stalin_operation_statuses_stats",0,"_doc","fattaneh.kia","Aug 8, 2023 @ 18:30:17.009"
"15,478","9,698",0,"14,798","2,867",0,32,"7,508",321,224,"S4Jp1okBnjF88R-C-hd6","stalin_operation_statuses_stats",0,"_doc","mahta.bakhshipour","Aug 8, 2023 @ 18:30:16.956"
"15,915","13,405",0,"19,944","3,314",0,48,"4,154",259,217,"SYJp1okBnjF88R-C-hcz","stalin_operation_statuses_stats",0,"_doc","niloofar.khosravi","Aug 8, 2023 @ 18:30:16.884"
"21,991","16,647",35,"29,978","3,573",0,171,"5,639",203,327,"SIJp1okBnjF88R-C-Rdc","stalin_operation_statuses_stats",0,"_doc","Nastaran.Sabouri","Aug 8, 2023 @ 18:30:16.670"
"16,912","10,956",0,"17,096","1,873",1,21,"4,305",254,282,"R4Jp1okBnjF88R-C-RcW","stalin_operation_statuses_stats",0,"_doc","elham.nasimzadeh","Aug 8, 2023 @ 18:30:16.600"
"15,330","9,628",0,"14,626","2,861",0,32,"7,479",19,302,"wYj2xokBnjF88R-CzG1w","stalin_operation_statuses_stats",0,"_doc","mahta.bakhshipour","Aug 5, 2023 @ 18:30:10.288"
"15,689","13,227",0,"19,683","3,302",0,48,"4,135",32,334,"voj2xokBnjF88R-CzG0p","stalin_operation_statuses_stats",0,"_doc","niloofar.khosravi","Aug 5, 2023 @ 18:30:10.217"
"21,540","16,512",35,"29,582","3,526",0,171,"5,635",3,412,"vYj2xokBnjF88R-Cy23b","stalin_operation_statuses_stats",0,"_doc","Nastaran.Sabouri","Aug 5, 2023 @ 18:30:10.139"
"16,617","10,781",0,"16,858","1,859",1,21,"4,286",18,407,"vIj2xokBnjF88R-Cy22Q","stalin_operation_statuses_stats",0,"_doc","elham.nasimzadeh","Aug 5, 2023 @ 18:30:10.064"
"13,354","14,978",0,"14,802","2,688",0,16,"5,971",39,289,"toj2xokBnjF88R-Cym3T","stalin_operation_statuses_stats",0,"_doc","fattaneh.kia","Aug 5, 2023 @ 18:30:09.875"
"15,225","9,589",0,"14,520","2,847",0,32,"7,452",321,368,"-uzQwYkB0EPpS66JeNDs","stalin_operation_statuses_stats",0,"_doc","mahta.bakhshipour","Aug 4, 2023 @ 18:30:12.457"
"15,567","13,159",0,"19,544","3,298",0,48,"4,132",328,398,9ezQwYkB0EPpS66JeNBu,"stalin_operation_statuses_stats",0,"_doc","niloofar.khosravi","Aug 4, 2023 @ 18:30:12.331"
"21,360","16,457",35,"29,352","3,508",0,170,"5,633",303,508,9OzQwYkB0EPpS66JeNAk,"stalin_operation_statuses_stats",0,"_doc","Nastaran.Sabouri","Aug 4, 2023 @ 18:30:12.257"
"16,475","10,693",0,"16,722","1,850",1,21,"4,273",318,481,"8-zQwYkB0EPpS66Jd9Dh","stalin_operation_statuses_stats",0,"_doc","elham.nasimzadeh","Aug 4, 2023 @ 18:30:12.190"
"13,354","14,612",0,"14,802","2,688",0,16,"5,971",39,308,7ezQwYkB0EPpS66Jd9Ap,"stalin_operation_statuses_stats",0,"_doc","fattaneh.kia","Aug 4, 2023 @ 18:30:12.005"
"15,225","9,589",0,"14,520","2,847",0,32,"7,452",21,368,1uuqvIkB0EPpS66JTXW7,"stalin_operation_statuses_stats",0,"_doc","mahta.bakhshipour","Aug 3, 2023 @ 18:30:24.954"
"15,567","13,159",0,"19,544","3,298",0,48,"4,132",28,398,0euqvIkB0EPpS66JTXUQ,"stalin_operation_statuses_stats",0,"_doc","niloofar.khosravi","Aug 3, 2023 @ 18:30:24.782"
